"ラグーン城のフェリシア王女が
フィリップス城に来てたそう
だぜ。","Looks like Princess
Ferisia of Lagoon Castle
has come to Philips Castle.",*** CONFIRMED ***
"何にする？
買うの？
どうもありがとう。
持ってるじゃない。
お金が足りないわ。","How can I help?
This one?
Thank you very much.
Don't you have one?
You can't afford it.",*** CONFIRMED ***
"ごめんよ。
君が欲しがって
いるような物は、
何も無いんだよ。
この間、賊に入られて
全部取られてしまった
んだ。","I'm sorry; I don't
have anything you
would want. Thieves
came recently, and
everything was
taken.",*** CONFIRMED ***
"フィリップス城で、
何が起こっているの
だろうか・・・。
お城に行った者も
誰も帰って来ない。齔
一体、あの城に
何があったのだ。","What is going on at
Philips Castle? Not
a single person has
returned.\
What the heck did
they find at that
castle?",*** CONFIRMED ***
"フェリシア王女って
可愛いよなあ","Princess Ferisia?
She's cute!",*** CONFIRMED ***
"ここのとこおかしな事が
多いわねえ。","So many things aren't
right around here.",*** CONFIRMED ***
"最近は、マーク王子の
お姿を見ないわねえ。","Prince Mark hasn't
been seen lately.",*** CONFIRMED ***
"レイクリーランドの王家には
代々、ラグーン城を天空に
浮かせる力があったらしい。齔
それは元々、地上の災厄から
逃れる為の物だったのだ。","Lake Leland's royalty
have inherited the
power to raise Lagoon
Castle into the heavens.\
It was used to keep
them safe from calamities
on the surface.",*** CONFIRMED ***
"王様、お妃様、フェリシア
王女はラグーン城で、幸せに
暮らしておられる。","The King, the Queen, and
Princess Ferisia dwell
happily at Lagoon Castle.",*** CONFIRMED ***
"水晶があると、すっごい
魔法が使えるんだよ。齔
でも、それには杖も必要
なんだ。水晶と二つで
一つさ。","You can use awesome
magic with a crystal!\
But only if you also
have a staff. The two
work together!",*** CONFIRMED ***
"みんな無事で良かった。
これでゆっくり眠れるな。","I'm glad that everyone
is safe. I can sleep
soundly now!",*** CONFIRMED ***
"今、フィリップス城には
恐ろしい化物が棲んでいる
って話だぜ。齔
みんな、そいつにやられ
たんじゃないといいけど。","They're saying Philips
Castle is infested with
horrible monsters now.\
Good thing they didn't
get anyone, though.",*** CONFIRMED ***
"魔物を倒せば、封印は
解かれるんじゃないか？","Shouldn't the seal
be broken if the
monsters are defeated?",*** CONFIRMED ***
"ドワーフの町には
いい防具が売ってたな。齔
欲しいのなら、金を
貯めておいた方がいいぞ。","They've been selling
good armor at the
dwarven town.\
Better save up if
you're interested!",*** CONFIRMED ***
"ゼラーに会ったか。
奴が何を考えているか
私には分かる。
奴は、ラグーン城の
聖域を我がものに
しようと企んでいる。齔
王女を狙うのも
その為だろう。
知っての通り、
王女には、ラグーン城
と、その聖域を動かす
力が備わっている。齔
ゼラーは、その力が
欲しいのに違いない。","Zerah was here?
I know his thoughts.
He schemes to claim
the Sanctuary in
Lagoon Castle.\
Hence his interest
in the Princess.
We know that she
possesses the power
to move Lagoon
Castle and the
Sanctuary.\
It is surely that
power which Zerah
desires.",*** CONFIRMED ***
"おお。皆は無事か。
すまぬ人間の若者よ。
これが転移のマント
じゃ。頼んだぞ。齔
あっと、そうそう礼と
いってはなんじゃが、
この杖を持っていきな
され。齔
これで、魔法の力さえ
あれば誰でも火の魔法
が使える。齔
＠＋ただし、紅炎の水晶が
必要だがな。＠","Oh! Everyone's safe?
My thanks, young
human. 
This is the Cloak
of Transit. I
entrust it to you.\
Ah, something to
thank you. Take
this staff!\
With this, one with
magical ability will
be able to use fire
magic.\
@^Of course, you'd
need an Inferno
Crystal as well.@",*** CONFIRMED ***
"早く持って行って
あげなさい。
待ってるじゃろうて。","Please bring it to
them quickly.
They'll be waiting.",*** CONFIRMED ***
"ありがとう。
感謝しているぞ。","Thank you. You have
our gratitude.",*** CONFIRMED ***
